nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3524,Kab. Lamongan,2008,67.848247,86.603787,6.7643842,623.18656,68.334338
Prov. Jawa Timur,3525,Kab. Gresik,2008,70.486473,94.04,8.4043842,633.89542,73.492252
Prov. Jawa Timur,3526,Kab. Bangkalan,2008,63.007738,82.76,5,622.0878,63.3994
Prov. Jawa Timur,3527,Kab. Sampang,2008,61.687004,64.12,3.77,622.77112,57.664964
Prov. Jawa Timur,3528,Kab. Pamekasan,2008,63.188637,79.571517,5.7247097,619.48821,63.127918
Prov. Jawa Timur,3529,Kab. Sumenep,2008,64.353935,78.62,5.0061285,635.21335,64.242916
Prov. Jawa Timur,3571,Kota Kediri,2008,69.952654,97.399285,9.6637273,636.89049,75.105757
Prov. Jawa Timur,3572,Kota Blitar,2008,71.662965,97.221384,9.5530392,645.52042,76.599186
Prov. Jawa Timur,3573,Kota Malang,2008,69.607116,97.187205,10.8,643.17063,76.192118
Prov. Jawa Timur,3574,Kota Probolinggo,2008,69.482364,92.317855,8.2923537,644.52938,73.287885
Prov. Jawa Timur,3575,Kota Pasuruan,2008,66.28548,95.926946,8.7369529,643.92061,72.596297
Prov. Jawa Timur,3576,Kota Mojokerto,2008,71.130669,97.103291,9.6565996,642.40953,76.114296
Prov. Jawa Timur,3577,Kota Madiun,2008,70.604642,97.71333,10.167317,636.65028,75.892286
Prov. Jawa Timur,3578,Kota Surabaya,2008,70.404625,97.941889,9.8415439,646.67145,76.362594
Prov. Jawa Timur,3579,Kota Batu,2008,68.869194,97.304094,8.1961878,636.03793,73.32994
Prov. Jawa Timur,3501,Kab. Pacitan,2009,71.044631,91.562704,6.7149924,626.79486,71.453457
Prov. Jawa Timur,3502,Kab. Ponorogo,2009,69.620148,85.716119,6.61,632.83651,69.750465
Prov. Jawa Timur,3503,Kab. Trenggalek,2009,71.3619,92.69128,7.1896928,633.18362,72.724281
Prov. Jawa Timur,3504,Kab. Tulungagung,2009,71.23317,93.497209,7.8040489,628.5505,72.930039
Prov. Jawa Timur,3505,Kab. Blitar,2009,70.655664,91.898902,7.2265913,646.62256,73.218406
Prov. Jawa Timur,3506,Kab. Kediri,2009,69.420498,92.75939,7.5873073,625.06143,71.32972
Prov. Jawa Timur,3507,Kab. Malang,2009,68.695921,89.543133,6.7990971,631.07668,70.091962
Prov. Jawa Timur,3508,Kab. Lumajang,2009,66.872814,86.3,6.0348688,624.20192,67.262756
Prov. Jawa Timur,3509,Kab. Jember,2009,62.65553,83.077944,6.4464627,621.90468,64.331731
Prov. Jawa Timur,3510,Kab. Banyuwangi,2009,67.180544,86.480099,6.8149132,628.20432,68.359863
Prov. Jawa Timur,3511,Kab. Bondowoso,2009,62.920204,75.307777,5.4909108,622.78,62.11168
Prov. Jawa Timur,3512,Kab. Situbondo,2009,63.018202,78.198344,5.9907302,629.3769,63.686882
Prov. Jawa Timur,3513,Kab. Probolinggo,2009,60.845955,77.861534,5.0755938,634.54975,62.125827
Prov. Jawa Timur,3514,Kab. Pasuruan,2009,63.701741,88.92765,6.3251205,631.17319,66.836984
Prov. Jawa Timur,3515,Kab. Sidoarjo,2009,70.314056,97.396667,9.7751847,643.29705,75.882026
Prov. Jawa Timur,3516,Kab. Mojokerto,2009,69.969682,94.090948,7.7920222,636.099,72.932612
Prov. Jawa Timur,3517,Kab. Jombang,2009,69.989054,92.499841,7.7587878,633.05,72.330306
Prov. Jawa Timur,3518,Kab. Nganjuk,2009,68.665314,90.457927,7.1133313,628.00753,70.274588
Prov. Jawa Timur,3519,Kab. Madiun,2009,68.722705,88.30648,6.9560023,622.39228,69.279279
Prov. Jawa Timur,3520,Kab. Magetan,2009,70.925825,90.282959,7.5516795,634.60763,72.324668
Prov. Jawa Timur,3521,Kab. Ngawi,2009,69.580398,85.119561,6.3405917,620.08953,68.414325
Prov. Jawa Timur,3522,Kab. Bojonegoro,2009,67.009082,84.580578,6.532848,611.90623,66.378078
Prov. Jawa Timur,3523,Kab. Tuban,2009,67.561876,85.560121,6.2192157,625.02338,67.680982
