nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2011,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",613.88
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2011,"IPM","Tanpa Satuan",68.98
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2012,"Angka Harapan Hidup","Tahun",65.28
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2012,"Angka Melek Huruf","Persen",96.25
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2012,"Rata-rata Lama Sekolah","Tahun",7.78
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2012,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",617.48
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2012,"IPM","Tanpa Satuan",69.37
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2004,"Angka Harapan Hidup","Tahun",65.5
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2004,"Angka Melek Huruf","Persen",95.66
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2004,"Rata-rata Lama Sekolah","Tahun",8.09
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2004,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",582.46
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2004,"IPM","Tanpa Satuan",66.89
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,"Angka Harapan Hidup","Tahun",65.73
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,"Angka Melek Huruf","Persen",96.42
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,"Rata-rata Lama Sekolah","Tahun",8.2
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",588.66
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,"IPM","Tanpa Satuan",67.74
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,"Angka Harapan Hidup","Tahun",66.5
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,"Angka Melek Huruf","Persen",96.42
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,"Rata-rata Lama Sekolah","Tahun",8.2
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",591.8
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,"IPM","Tanpa Satuan",68.41
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,"Angka Harapan Hidup","Tahun",66.61
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,"Angka Melek Huruf","Persen",96.42
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,"Rata-rata Lama Sekolah","Tahun",8.2
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",596.92
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,"IPM","Tanpa Satuan",68.87
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,"Angka Harapan Hidup","Tahun",66.71
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,"Angka Melek Huruf","Persen",96.42
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,"Rata-rata Lama Sekolah","Tahun",8.2
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",600.21
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,"IPM","Tanpa Satuan",69.18
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,"Angka Harapan Hidup","Tahun",66.82
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,"Angka Melek Huruf","Persen",96.47
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,"Rata-rata Lama Sekolah","Tahun",8.28
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",604.59
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,"IPM","Tanpa Satuan",69.64
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2010,"Angka Harapan Hidup","Tahun",66.93
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2010,"Angka Melek Huruf","Persen",96.53
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2010,"Rata-rata Lama Sekolah","Tahun",8.43
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2010,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",606.47
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2010,"IPM","Tanpa Satuan",69.97
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2011,"Angka Harapan Hidup","Tahun",67.03
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2011,"Angka Melek Huruf","Persen",96.55
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2011,"Rata-rata Lama Sekolah","Tahun",8.44
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2011,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",610.56
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2011,"IPM","Tanpa Satuan",70.36
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2012,"Angka Harapan Hidup","Tahun",67.14
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2012,"Angka Melek Huruf","Persen",96.55
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2012,"Rata-rata Lama Sekolah","Tahun",8.45
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2012,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",614.19
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2012,"IPM","Tanpa Satuan",70.71
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2004,"Angka Harapan Hidup","Tahun",68.6
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2004,"Angka Melek Huruf","Persen",96.04
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2004,"Rata-rata Lama Sekolah","Tahun",9.34
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2004,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",580.19
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2004,"IPM","Tanpa Satuan",69.45
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,"Angka Harapan Hidup","Tahun",68.91
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,"Angka Melek Huruf","Persen",96.94
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,"Rata-rata Lama Sekolah","Tahun",9.3
