67.2,86.3,6.1,628.6,70.5
62.8,83.5,6.5,626.6,67.8
67.6,86.7,6.9,631.3,64.9
63.2,76.7,5.5,626.7,68.9
63.2,78.2,6.2,633.6,62.9
61.1,78.9,5.6,636,64.3
64,90,6.3,635.8,63
70.6,97.4,9.8,647,67.6
70.2,94.1,7.8,640.2,76.3
70.1,92.5,7.8,637,73.4
68.9,90.5,7.2,631.9,72.7
68.9,89.5,7.4,625.2,70.8
71.2,90.5,7.6,637.1,70.2
69.9,85.1,6.4,622.7,72.7
67.1,84.8,6.7,616.1,68.8
67.8,85.8,6.4,629.1,66.9
68.2,87.1,7.2,631.8,68.3
71,94.5,8.5,640.6,69.6
63.3,82.8,5.2,632.4,74.5
63,66,3.9,632.5,64.5
64,80.8,6.1,625.5,59.7
64.7,78.6,5.6,644.2,64.6
70.4,97.5,10.2,643.4,65.6
72.2,97.2,9.7,650.4,76.3
70.3,97.2,10.8,650.8,77.4
70.2,92.5,8.5,650.5,77.2
66.4,96.4,8.8,651.9,74.3
71.6,97.1,10,648,73.5
71,97.8,10.4,640.3,77
71,98.1,9.9,652.8,76.6
69.4,98.3,8.5,640.7,77.3
71.5,91.6,6.9,634.7,79.9
70.2,87.3,7,638.2,72.5
71.9,92.8,7.3,640.6,71.2
71.7,93.6,7.8,635.1,73.7
71.1,92,7.4,652.7,73.8
69.9,92.8,7.7,632.8,74.1
69.2,89.6,7,639.1,72.3
67.5,86.6,6.4,632.3,71.2
63,83.6,6.7,630.5,68.5
68,87.4,6.9,635,65.5
63.5,78.2,5.7,630.2,69.6
63.4,78.3,6.2,637.5,63.8
61.4,80.4,5.8,638.2,64.7
64.3,90,6.5,639.7,63.8
70.8,97.8,9.8,651.3,68.2
70.4,94.1,7.8,644.8,76.9
70.2,92.9,7.8,640.4,73.9
69.1,91.1,7.4,635.6,73.1
69.1,89.5,7.4,627.9,71.5
71.4,90.6,7.6,640.8,70.5
70.2,85.5,7,625,73.2
67.3,84.8,6.7,620.2,69.7
68,85.8,6.5,631.9,67.3
68.4,88.7,7.5,634.9,68.7
71.2,94.6,8.8,644.7,70.5
63.5,82.9,5.3,636.4,75.2
63.5,67.6,4.2,636.1,65
64.4,81.8,6.3,629.2,60.8
64.9,78.7,5.6,648.1,65.5
70.6,97.6,10.2,648,66
72.5,97.3,9.8,654.2,76.8
70.7,97.2,10.8,655.2,77.9
70.5,92.5,8.5,654.5,77.8
66.4,96.4,9,656.2,74.9
71.8,97.1,10,652.5,73.9
71.2,97.8,10.4,644.6,77.5
71.3,98.1,10.1,657.1,77.1
69.7,98.3,8.5,644.7,77.9
71.7,91.6,7,638.1,80.2
70.4,89,7.2,640.3,72.9
72.1,92.9,7.3,643.7,71.9
72,94.6,8,638.5,74.1
71.3,92.1,7.4,655.6,74.4
70.2,92.9,7.7,636.3,74.4
